,TranslatedRecipeName,TranslatedIngredients,PrepTimeInMins,CookTimeInMins,TotalTimeInMins,Servings,Cuisine,Course,Diet,TranslatedInstructions
4504,Corn and Onion Raita (Recipe in Hindi),"1/2 कप मक्का - उबाल ले,1 कप दही,पानी - प्रयोग अनुसार,1 छोटा चमच्च तेल,1 छोटा चमच्च जीरा,1 हरी मिर्च - बारीक काट ले,1 प्याज - पतला काट ले,1/2 छोटा चमच्च लाल मिर्च पाउडर,नमक - स्वाद अनुसार",10,20,30,4,Indian,Side Dish,Vegetarian,"मक्के और प्याज का रायता बनाने के लिए सबसे पहले दही को अच्छी तरह से फेट ले। दही में थोड़ा पानी डाले और मिला ले. अब इस मिक्सचर में स्वाद अनुसार नमक डाले और मिला ले. अलग से रख ले. एक छोटी कढ़ाई में तेल गरम करें। इसमें जीरा, हरी मिर्च और प्याज डाले। प्याज के नरम होने तक पकाए। नरम होने के बाद उसमे उबले हुए मक्के, लाल मिर्च पाउडर और नमक डाले। इस मिक्सचर को दही में डाले और अच्छी तरह से मिला ले. हरे धनिये से गार्निश करें और परोसे। मक्के और प्याज का रायता को ढाबा स्टाइल दाल फ्राई, नवरतन कोरमा और फुल्के के साथ परोसे।
"
4508,Tandoori Paneer Darts Masala Recipe,"250 grams Paneer (Homemade Cottage Cheese) - cut into cubes,2 Coal - for coal smoking method,2 cups Homemade tomato puree,3 tablespoons Heavy whipping cream,5 Mint Leaves (Pudina),3 clove Garlic,1 Ginger,1 teaspoon Fennel seeds (Saunf),1/2 teaspoon Ajwain (Carom seeds),1 Saffron strands - few,1/2 teaspoon Cumin powder (Jeera),1 teaspoon Coriander Powder (Dhania),1 teaspoon Chaat Masala Powder,1/2 teaspoon Garam masala powder,1/2 teaspoon Black pepper powder,1/4 teaspoon Red Chilli powder,1/4 teaspoon Black Salt (Kala Namak),1 teaspoon Turmeric powder (Haldi),Salt - to taste",20,40,60,4,North Indian,Side Dish,High Protein Vegetarian,"To begin making the Tandoori Paneer Tikka Masala Recipe, we will first make the tikka masala.In a bowl, combine the cream and chopped mint leaves.Pound the fennel seeds and ajwain and add it to the yogurt mixture. Add in the remaining tikka masala ingredients into the cream mixture and stir to combine well.Place the paneer cubes in a large bowl, add in the marinade and allow it to rest covered for about half an hour to one hour or even overnight. Make a paste of the ginger and garlic using a pestle and mortar.Heat oil in a heavy bottomed pan; add the pounded the ginger, garlic and saute for a few seconds. Add the tomatoes and give it a quick boil. Add the Paneer along with the marinade and give it a good stir to combine all the ingredients.Check the salt and spices and adjust to suit your taste. Cover the pan and allow the Paneer Tikka Masala to simmer for about 3 to 4 minutes.While simmering, we can prepare the coal for the coal smoking method.Take a piece or two of coal (about 3 inches big) and hold it over a gas flame with the help of tongs. The coal will begin to turn red hot and also grey in about 5 minutes.This indicates that the coal can be used for smoking. Place this hot coal inside a crack proof bowl. At this point heat a large wok or a skillet with rim that can be covered on medium heat.Place the coal along with the bowl over the paneer.Place the coal along with the bowl over the paneer tikka masala.Add a spoon of ghee or oil on the coal. It will begin to smoke. Immediately cover the pan and reduce the heat to low and let it sit for about a minute until the smoke has gone away. Open the lid and remove the coal cup.You dish will get a smoked flavored paneer that taste just like the Tandoori Paneer Tikka Masala. Serve the Paneer Tikka Masala along with a favorite Indian Bread, Jeera Pulao, Papad and Raita to me a complete dinner for your family.
"
4511,Nongu Pal Recipe - Nongu Paal Recipe,"10 नोंगु - छिलका निकाल ले,1/2 लीटर दूध,शक्कर - या शहद,1/4 छोटा चम्मच इलाइची पाउडर,2 बड़े चम्मच गुलाब का पानी,2 बड़े चम्मच अनार के दाने,15 गुलाब के पत्ते - वैकल्पिक",20,15,35,4,Indian,Snack,Vegetarian,"नोंगु पाल रेसिपी बनाने के लिए, सबसे पहले एक सॉसपैन में दूध डाले। इसमें इलाइची पाउडर डाले और अच्छी तरह से मिला ले. गैस बंद करें और ठंडा होने दे. अब नोंगु को छील ले. 5 नोंगु को ब्लेंडर में डाले और पीस ले. बाकी बचे हुए नोंगु को छोटा छोटा काट ले और उसे इस मिश्रण में डालकर मिला ले. अब इसमें शहद/शक्कर, गुलाब का पानी, ठंडा दूध डाले और शक्कर के मिलाने तक मिला ले. इस मिश्रण को फ्रिज में डाले और 3 से 4 घंटे के लिए ठंडा कर ले. बर्फ, अनार और गुलाब के पत्ते से गार्निश करें। नोंगु पाल रेसिपी को शाम के वक़्त मठरी या किसी भी नमकीन के साथ परोसे। आप इसे बिना किसी नाश्ते के स्नैक की तरह भी पी सकते है.
"
4513,Roasted Peanut & Fried Gram Chikki Recipe,"1 cup Roasted Peanuts (Moongphali) - halved,3/4 cup Roasted Gram Dal (Pottukadalai),2 cups Jaggery - grated,2 tablespoons Ghee",10,45,55,10,Indian,Snack,High Protein Vegetarian,"To begin making the Roasted Peanut & Fried Gram Chikki Recipe, first grease a rectangular tray with ghee and set aside.Place a heavy bottomed pan over medium heat, add the roasted peanuts and the roasted gram dal and stir for a couple of minutes until you get a roasted aroma. Since these are already pre-roasted, you just need to warm them to get the flavors out. Place it on the kitchen paper towel.In the same heavy bottomed pan, add the grated jaggery. With heat on low allow the jaggery to melt. Stir in between and remove the scum if any.When the jaggery tends to thicken and turn dark colour, add the ghee. Give the mixture a gentle stir.At this stage, add the roasted peanuts and the roasted fried gram. Stir well into the jaggery and ghee mixture for another couple of minutes and turn off the heat.Spread evenly onto a greased plate and flatten the Roasted Peanut & Fried Gram Chikki with back side of a big spoon or wooden spatula or rolling pin.Leave the mixture to cool for 1-2 minutes and the chikki will begin to set itself into shape and become brittle. If you want square pieces, take a sharp knife and run through the surface on the evenly spread mixture.If you wish to make balls of the chikki, then grease your palm and fingers and take portions of the chikki while it is still warm and roll them into balls.Once shaped and cut, the Roasted Peanut & Fried Gram Chikki is ready to be served with your evening Masala Chai. Store in an airtight container for more than a couple of week and enjoy the healthy snack.Serve the Roasted Peanut & Fried Gram Chikki along with your evening Masala Chai.
"
4514,Green Mango Masoor Dal Recipe,"1 cup Masoor Dal (Whole),1/2 cup Mango (Raw) - cubed,2 Green Chillies - slit,1/2 teaspoon Turmeric powder (Haldi),Salt - to taste,2 tablespoon Mustard oil,1/2 teaspoon Cumin seeds (Jeera),1/2 teaspoon Mustard seeds,1/4 teaspoon Kalonji (Onion Nigella Seeds),1/2 teaspoon Fennel seeds (Saunf),1/4 teaspoon Methi Seeds (Fenugreek Seeds),3-4 Dry Red Chilli",10,20,30,4,North Indian,Dinner,High Protein Vegetarian,"To begin making Green Mango Masoor Dal Recipe, first clean and wash the masoor dal well.Place a pressure cooker on medium heat. Add the dal along with 2 and a half cup of water, salt, turmeric and slit green chillies into the pressure cooker. You can adjust the green chillies as per your palate. Bring it to boil. add cubed raw mangoes. Cover the lid of the pressure cooker and cook for a whistle or two or until done.At this stage, add cubed raw mangoes. Cover the lid of the pressure cooker and cook for a whistle or two or until done.One the pressure within the cooker is naturally released, adjust the consistency of the dal as preferred by adding some water. Put it back on the flame. Bring it to boil and simmer for 2 to 3 minutes. You can proceed for making the seasoning.To begin making the seasoning, place a Tadka Pan on medium heat. Add mustard oil and heat the mustard oil until smoky. Add cumin seeds, mustard seeds, nigella seeds and methi seeds to the pan. Allow them to crackle for few seconds.Add broken red chillies and fry for another few seconds.Pour this tempering over the dal. Turn off the heat.Serve Green Mango Masoor Dal Recipe hot with Steamed Rice or hot Tawa Parathas.
"
4522, Aloo Tamatari (Recipe In Hindi),"3 आलू - काट ले,3 टमाटर - बारीक काट ले,2 बड़े चमच्च घी,1 सुखी लाल मिर्च,1-1/2 छोटा चमच्च जीरा,1/4 छोटा चमच्च हींग,1/2 छोटा चमच्च लाल मिर्च पाउडर,1/4 छोटा चमच्च हल्दी पाउडर,1/2 छोटा चमच्च धनिया पाउडर,1/2 छोटा चमच्च अमचूर पाउडर,2 कप पानी - प्रयोग अनुसार,नमक - स्वाद अनुसार,हरा धनिया - प्रयोग अनुसार (गार्निश के लिए)",15,20,35,4,North Indian,Lunch,Vegetarian,"आलू टमाटरी बनाने के लिए सबसे पहले आलू को अच्छी तरह से धो ले. अब आलू का छिलका निकाले और उन्हें काट ले. एक बड़े बाउल में आलू को पानी के साथ रख दे. हम अब इस सब्ज़ी को बनाने की दूसरी सामग्री तैयार करेंगे। टमाटर को धो कर छोटा छोटा काट ले. कश्मीरी मिर्च के बिच में चीरा लगाए और बीज निकाल ले. धनिये को बारीक काटे और अलग से रख दे. एक प्रेशर कुकर में घी गरम करें। इसमें जीरा, हींग, कश्मीरी मिर्च डाले और 20 सेकण्ड्स तक पकने दे. 20 सेकण्ड्स के बाद इसमें आलू डाले और उन्हें पकाए। 1 मिनट के बाद इसमें लाल मिर्च पाउडर और हल्दी पाउडर डाले। सबको अच्छी तरह से मिला ले. अब इसमें टमाटर डाले और 3 मिनट तक पका ले. 3 मिनट के बाद इसमें धनिया पाउडर, नमक और अमचूर पाउडर डाले। मिला ले. प्रयोग अनुसार पानी डाले, मिलाए और कुकर को बंद कर दे. 2 सिटी आने तक पकाए और गैस बंद कर दे. प्रेशर को निकलने दे और फिर कुकर को खोले। थोड़े आलू को चमच्च की मदद से मैश कर ले ताकि ग्रेवी थोड़ी गाढ़ी हो जाए. मिलाए, गैस बंद करें और हरे धनिये से गार्निश करें। आलू टमाटरी को बूंदी रायता, कचुम्बर सलाद और पूरी के साथ दिन के खाने के लिए परोसे।
"
4526,Coriander Chicken Roast Recipe,"500 grams Chicken,1 tablespoon Red Chilli powder,1 teaspoon Garam masala powder,1/4 teaspoon Turmeric powder (Haldi),Salt - as needed,1 tablespoon Ginger Garlic Paste,3/4 cup Coriander (Dhania) Leaves - finely chopped,2 tablespoons Sunflower Oil",60,15,75,3,North Indian,Appetizer,High Protein Non Vegetarian,"To begin making the Coriander Chicken Roast recipe, in a bowl take the finely washed and cleaned chicken. To this bowl, add the red chilli powder,  garam masala, turmeric powder, salt, ginger garlic paste, coriander leaves.Mix everything well and allow it to marinate for 1 hour. Then heat a pan add in oil once it heats up add in the Marinated Chicken and start cooking in a low flame.Continue cooking and stir in intervals to prevent it from getting burnt in the bottom of the vessel. Switch off the flame once the chicken is cooked and serve hot.Serve Coriander Chicken Roast along with Steamed rice and Jeera Rasam for a weekday meal.
"
4527,Sweet & Spicy Amla Chutney Recipe,"100 grams Amla (Nellikai/ Gooseberry),1 teaspoon Cumin seeds (Jeera),1 teaspoon Mustard seeds,1 sprig Curry leaves,2 teaspoon Red Chilli powder,1 pinch Asafoetida (hing),1/4 cup Jaggery,Salt - to taste,Sunflower Oil",10,45,55,4,North Indian,Side Dish,Vegetarian,"To begin making the Sweet & Spicy Amla Chutney Recipe, pressure cook the amla along with a little water for three whistles. Once the pressure is released, open the cooker and deseed the alma.Grind the cooked amla in a mixer along with a little water and make into a smooth paste.Heat a kadai with oil, add the cumin seeds, mustard seeds and hing, allow it to crackle.Add red chilli powder and give it a stir, add ground amla paste and mix well. Add jaggery and salt and cook for a few minutes until the mixture comes together.Serve the Sweet & Spicy Amla Chutney Recipe along with Crispy dosa or thalipeeth to enjoy it along with your breakfast meal.
"
4528,Nariyal Ki Kheer Recipe - Coconut Pudding,"1 Fresh coconut - grated,1 liter Milk,3/4 cup Sugar - adjustable,1/2 teaspoon Cardamom Powder (Elaichi),1 tablespoon Badam (Almond) - chopped,1 tablespoon Whole cashews - chopped,1 tablespoon Pistachios - chopped,Saffron strands - a pinch",20,50,70,5,Indian,Dessert,Vegetarian,"To begin making Nariyal Ki Kheer Recipe, crush and soak the saffron strands in 1 teaspoon warm milk.In a thick bottom pan, bring the rest of the milk to boil on a medium heat. You need to stir in continuously to avoid any sticking to the base. Keep stirring till the milk is reduced to just half of the original amount.Now add grated coconut to milk and stir it firmly until it again starts boiling.Cook on low medium heat for about 15-20 minutes or till the coconut is cooked well.Now add sugar, cardamom powder, saffron, almonds, cashews and pistachios. Stir it well and cook it for 5-7 minutes further, or till the nuts are cooked.Garnish it with some remaing dry fruits and serve warm or chilled.Serve Nariyal Ki Kheer Recipe as a dessert with Puri Recipe, Peshawari Chole Recipe, and Satvik Carrot Sprout Salad.
"
4532,Cucumber Pineapple Raw Mango Salad Recipe,"1 cup Cucumber - diced,1/2 cup Pineapple - diced,1/2 cup Mango (Raw) - diced,1/4 cup Green Chutney (Coriander & Mint),2 sprig Mint Leaves (Pudina) - roughly torn",15,0,15,2,Indian,Side Dish,Vegetarian,"To begin making the Cucumber Pineapple Raw mango salad Recipe, wash and cut the fruits and vegetables.In a mixing bowl, add the diced cucumber, pineapple and raw mango and mix in the Dhaniya Pudina Chutney and mint leaves.Mix Cucumber Pineapple Raw mango salad until well combined.Keep it aside for some time so that the fruits and vegetables absorbs the flavour. Serve the salad chilled. Serve the Cucumber Pineapple Raw Mango Salad Recipe along with Thakkali Sadam Recipe (Spicy Tomato Rice) and Papad Raita Recipe for a complete meal. 
"
4535,Curd Oats Recipe,"3 tablespoons Instant Oats (Oatmeal),1 cup Water,1-1/2 cup Curd (Dahi / Yogurt) - beaten to a smooth consistency,1 inch Ginger - finely chopped,1 Green Chilli - finely chopped,Salt - to taste,1 teaspoon Sunflower Oil,1/2 teaspoon Chana dal (Bengal Gram Dal),1/2 teaspoon Mustard seeds,1 sprig Curry leaves,pinch Asafoetida (hing)",10,10,20,4,Indian,Lunch,Vegetarian,"To begin making the Curd Oats Recipe, we first need to cook the oats in plain water.Bring a cup of water to a rolling boil in a saucepan, add the oats and season with salt, mix and simmer for 3 minutes until the oats is cooked. Turn off the heat and keep aside to cool.Take a bowl, add curd and beat the thick curd to the silky smooth texture.To the curd add the finely chopped ginger and green chilli and the cooled oats. Mix well to combine. If the curd oats is too thick, add a little milk or water to bring it to the desired consistency.To prepare the tadka, heat oil in a tadka pan on low heat, add the chana dal and mustard seeds and let it splutter.Once the mustard seeds have spluttered add the curry leaves and asafoetida and once the curry leaves crackle turn off the heat.Add this tadka over the prepared curd oats and mix well. Season with salt if required and serve.Serve this delicious Curd Oats Recipe for a light lunch or early supper along with Kachumber salad and Pisarna Manga Recipe -Instant Raw Mango Pickle to make it a complete meal.
"
4539,Choco Badam Barfi / Choco Almond Fudge Recipe,"1 cup Khoya (Mawa),1/2 cup Sugar - granulated,1/2 cup Almond Meal (Badam Powder),2 tablespoons Cocoa Powder - unsweetened,Ghee - for greasing the plate",10,20,30,4,North Indian,Dessert,Vegetarian,"To prepare Choco Badam Barfi / Choco Almond Fudge Recipe, take mawa or khoya in a medium kadai and add sugar into it.Keep the heat on medium and mix it well. Keep mixing and cook until sugar is melted and well mixed with mawa. It will take maximum 5 minutes.Remove sweetened mawa from heat and mix almond powder into it.Divide the mixture into 2 equal parts. Grease a plate with some ghee.Take one part of the prepared barfi mix on the plate and spread it evenly by pressing with spoon or your fingers. Make it into square shape with about 1/2 inch thickness.Add cocoa powder in the remaining barfi mix and knead it well so that cocoa is properly mixed.Place this mixture on top of the already spread barfi mixture on the plate and similarly, press this cocoa mixture using fingers and spread it out.Now with the help of pizza cutter or a knife, cut the burfi into square or diamond shapes. Let the pieces cool completely and then remove them out.Store in the airtight container and consume within a week.
"
4540,Chana dal and fenugreek vegetable recipe,"1 cup Chana dal (Bengal Gram Dal),1/4 cup Methi Seeds (Fenugreek Seeds),Water - as required,1/2 teaspoon Cumin seeds (Jeera),1/2 teaspoon Mustard seeds,1/2 teaspoon Asafoetida (hing),5 Curry leaves,1 teaspoon Red Chilli powder,1/2 teaspoon Turmeric powder (Haldi),1/2 teaspoon Amchur (Dry Mango Powder),1/2 teaspoon Coriander Powder (Dhania),Salt - salt as required,Sunflower Oil - oil as required",20,30,50,4,North Indian,Side Dish,Vegetarian,"To prepare Chana Dal & Methi Ki Sabzi recipe, firstly boil chana dal and methi seeds together with the required water till soft but not mushy.Once it is boiled, drain the water and keep aside.Heat oil in a heavy bottomed pan and add cumin seeds, mustard seeds, hing, and curry leaves.Once it starts crackling, add all the masalas including red chilli powder, turmeric powder, amchur powder, coriander powder and the required salt.Mix Chana Dal & Methi Ki Sabzi to combine well with the masalas and cook for 3 to 5 minutes.Once it is done, garnish Chana Dal & Methi Ki Sabzi recipe with coriander leaves.Serve Chana Dal And Methi Ki Sabzi With Gujarati Kadhi and Phulka for an everyday meal.
"
4545,Plain Dalia Recipe- How To Cook Broken Wheat In Pressure Cooker,"1 cup Broken Wheat (Dalia/ Godumai Rava),2 cups Water",5,20,25,4,Indian,Lunch,Vegetarian,"To begin making Plain Dalia Recipe in a Pressure cooker first wash the broken wheat a couple of times and soak the dalia/broken wheat for half an hour. Add the broken wheat/ dalia into a pressure cooker and close the lid.Keep the pressure cooker on heat and pressure cook for one whistles. Reduce the heat after one whistle to medium and cook for another two whistles. Turn off the heat.Let the pressure release naturally and then open the lid of the pressure cooker. Take a fork or spoon and fluff up the dalia/ broken wheat and remove into a serving bowl. Serve Dalia/ Broken Wheat along with Palak Tovve or Palak Dal, Masalewali Turai Sabzi and Tomato Onion Cucumber Raita for a wholesome lunch. 
"
4548,Makki Paneer Pakora Recipe,"1-1/4 cup Sweet corn - mashed,100 grams Paneer (Homemade Cottage Cheese) - grated,1/4 cup Onion - finely chopped,2 tablespoon Coriander (Dhania) Leaves - finely chopped,10 Curry leaves - finely chopped,1/4 cup Gram flour (besan),Salt - as needed,Sunflower Oil - to deep fry,1 teaspoon Fennel seeds (Saunf),2 Green Chillies,1/2 inch Ginger",15,10,25,2,Indian,Snack,Vegetarian,"To start making Makki Paneer Pakora Recipe, In a small mixer jar grind fennel seeds, green chili and ginger without adding any water to a coarse paste and keep aside.Add the corn to food processor and grind to coarse paste without adding any water.Heat enough oil in a kadai on medium flame to deep fry pakoras.In a medium bowl, add ground corn, prepared coarse masala of ginger-green chili , grated paneer, chopped onions, coriander leaves, curry leaves, chickpea flour along with needed salt and mix well to combine.If the batter is dry then sprinkle water if needed and bring it to pakora batter consistency.Once the oil is hot, drop spoonfuls of prepared batter and add to oil.Fry them until golden and remove onto a paper towel.Repeat the process and make Makki Paneer Pakora until batter is done.Serve Makki Paneer Pakora Recipe along with mint chutney or sweet dates chutney on the side. Serve it as a starter at your next party along with a meal of Nawabi Kofta Curry, Spiced Kumbh Pulao Recipe and Sheer Khurma.
"
4557,Habshi Halwa Recipe,"1 liter Milk - with full cream,1/4 teaspoon Lemon Salt - mixed in 2 teaspoon water,1 tablespoon White vinegar,3 tablespoons All Purpose Flour (Maida),4 tablespoon Ghee,1/2 cup Sugar,1/2 teaspoon Cardamom Powder (Elaichi),5 Saffron strands,1 tablespoon Cocoa Powder - unsweetened,1/2 cup Slivered Almonds (Badam)",10,60,70,4,Indian,Dessert,Vegetarian,"To begin making Habshi Halwa, first bring the milk to a boil in a heavy bottomed pan or kadhai.Once boiled turn off the heat and add lemon salt mixed with water. Cover the milk and allow it to sit for 5 minutes. This is the time the milk will take to curdle.When you open the lid, you should find the milk curdled. Now, put the pan back on the heat and cook the curdled mixture on medium-high heat for about 30-40 minutes until half of the whey (or the water that has separated) has evaporated.Next add the sugar and stir well until it has dissolved completely. Add white vinegar and cook for 8 to 10 minutes.Then, add the cocoa powder and maida along with ghee. This will make the mixture glossy. Continue to stir and once the halwa starts to leave the sides of the pan, sprinkle the Elaichi powder and saffron strands over it. Mix well till combined.Lastly add the slivered almonds and mix well.To set the Habshi Halwa, grease a large plate with a rim, with ghee. Transfer the cooked halwa to it and press it evenly into a slab, with your fingers. Allow it to cool down completely and turn firm. Slice it.Serve Habshi Halwa as a dessert along with Paal Payasam during a festive lunch.
"
4558,Ragi Badam Soup Recipe - Finger Millet Almond Soup With Vegetables,"2 tablespoons Ragi Flour (Finger Millet/ Nagli),1 Onion - finely chopped,1 inch Ginger - finely chopped,Carrots (Gajjar) - finely chopped,1/4 cup Green beans (French Beans) - finely chopped,1/2 cup Badam (Almond) - soaked,Salt - to taste,1/2 Whole Black Peppercorns - coarsely pounded,1 teaspoon Cumin powder (Jeera),1 tablespoon Ghee",15,10,25,2,Indian,Dinner,Diabetic Friendly,"To begin making the Ragi Badam Soup Recipe, soak almonds in hot water for 15 to 20 minutes.Remove the skin from the almonds and blend to make a smooth paste of the badam.Dissolve the ragi and almond paste in 2-1/2 cups of water. Keep this aside.Add the carrot and beans into the pressure cooker, add 1 tablespoon of water and pinch of salt. Pressure cook for one whistle and turn off the heat. Release the pressure immediately, to retain the fresh colors of the green beans and carrots.Chop all the vegetables and set it aside.Heat little oil in a Saucepan, add the onions and ginger and saute until the onions turn translucent.Once the onions are done, add 2-1/2 cups of ragi badan soup water and bring this to a boil.Keep stirring continuously and ensure the ragi thickens and makes a smooth soup like consistency. You might have to add more water to adjust the consistency of the soup. Once the ragi badam soup mixture is cooked well, stir in the vegetables, ghee, the black pepper, cumin powder and salt to taste. Give it a brisk boil, check the taste and adjust accordingly.Serve Ragi Almond Soup Recipe With Vegetables as a healthy Indian diabetic dinner. It makes a wholesome one dish meal.
"
4562,Brinjal Capsicum Sabji Recipe,"2 Brinjal (Baingan / Eggplant) - diced (long variety),1 Green Bell Pepper (Capsicum) - diced,5 Garlic - chopped finely,1/2 tablespoon Asafoetida (hing),2 Green Chillies - chopped,1 Tomato - chopped,1 tablespoon Turmeric powder (Haldi),1 tablespoon Red Chilli powder,1/2 tablespoon Coriander Powder (Dhania),1/2 tablespoon Garam masala powder,Salt - to taste,Coriander (Dhania) Leaves - chopped,Sunflower Oil - as required",10,15,25,4,Indian,Lunch,Vegetarian,"To prepare the simple Brinjal Capsicum Sabji Recipe, heat a pan with enough oil.Add chopped garlic and hing, sauté it for few seconds.Add brinjal and capsicum.Add all the dry spices, sauté and cover the lid. Let it semi cook by sautéing every few minutes once.Add chopped tomato and let it cook for 5-7 minutes (or until the veggies are desirable cooked).Add salt to taste, sauté and add chopped fresh coriander.Pack this Brinjal Capsicum Sabji Recipe with phulka/ chapati for a light lunch at office or school.
"
4564,Dudhi Dal Gosht Recipe-Mutton With Bottle Gourd & Lentils,"1 kg Bottle gourd (lauki) - chopped into cubes,750 grams Mutton,150 grams Chana dal (Bengal Gram Dal),50 grams Masoor Dal (Whole),50 grams Arhar dal (Split Toor Dal),1 Tomato - finely chopped,3 Onions - finely sliced,5 Amchur (Dry Mango Powder) - whole,2 inch Cinnamon Stick (Dalchini),2 Bay leaf (tej patta),6 Whole Black Peppercorns,4 Cardamom (Elaichi) Pods/Seeds,1 teaspoon Cumin seeds (Jeera),Sunflower Oil - as required,1 tablespoon Ghee,2 sprig Mint Leaves (Pudina),Salt - to taste,1 tablespoon Ginger Garlic Paste,2 teaspoons Red Chilli powder,1 teaspoon Cumin powder (Jeera),2 teaspoons Coriander Powder (Dhania),1 teaspoon Turmeric powder (Haldi),5 sprig Coriander (Dhania) Leaves - finely chopped to garnish",15,40,55,2,Indian,Dinner,Non Vegeterian,"To begin making the Dudhi Dal Gosht recipe, mix all the dals in a pressure cooker and cook till it is properly cooked and mushy. Once it is done, blend with a hand blender.Next, boil mutton with a little salt and water in a pressure cooker for 15 minutes.Heat oil and ghee in a heavy bottomed pan. Add all the whole spices including bay leaf, whole pepper corns, cinnamon stick and cumin seeds. Cook them for about 30 seconds and add finely sliced onions and cook till they become slightly brown in colour. (Make sure you do not burn them)Next, add ginger garlic paste, red chilli powder, cumin powder, turmeric powder, coriander powder and salt. Add the chopped bottle gourd, tomatoes, mix everything properly and let it cook till the bottle gourd is half cooked. Once it is done, add whole mint leaves to it. Now add the boiled mutton, mixed daal and cook for 5 minutes.Now add whole amchur and lemon juice to it. Let it cook for another 5 minutes and garnish with coriander.Serve Dudhi Dal Gosht along with Tomato Onion Cucumber Raita, Phulka and Steamed Rice for your weeknight dinner with family.
"
4568,Tawa Paneer Masala Recipe,"3 cups Paneer (Homemade Cottage Cheese) - cubes,1 teaspoon Kasuri Methi (Dried Fenugreek Leaves),1 teaspoon Red Chilli powder,1/4 teaspoon Turmeric powder (Haldi),Salt - to taste,Sunflower Oil - to cook,1/2 teaspoon Cumin seeds (Jeera),1/2 teaspoon Ajwain (Carom seeds),1/2 cup Onions - finely chopped,2 teaspoon Garlic - paste,1 teaspoon Green Chillies - finely chopped,1 teaspoon Coriander Powder (Dhania),1 cup Homemade tomato puree,1/2 teaspoon Ajwain (Carom seeds) - roasted,2 tablespoons Fresh cream,1/2 teaspoon Garam masala powder",30,20,50,5,North Indian,Dinner,Vegetarian,"To start making Tawa Paneer Masala Recipe, first get all the ingredients handy.Marinate paneer with turmeric, chili powder, fenugreek leaves and salt in a bowl. Leave for 20 minutes.Heat oil in a frying pan and shallow fry paneer on both the sides for 2-3 minutes, flipping often. Set aside fried paneer.Heat the remaining oil in a non-stick pan, add cumin seeds and carom seeds. Sauté them for few seconds on medium heat.Add onions and sauté them for 2-3 minutes.Add garlic paste, chilies, and coriander powder and mix them well.Add the tomato pulp, caraway seeds and cook in medium flame for 3 minutes. Stir occasionally.Once the gravy thickens, add paneer, fresh cream, garam masala and combine them well. Adjust spices and let it simmer for 2 minutes.Garnish with fresh coriander leaves. Enjoy Tawa Paneer Masala with hot rotis/chapatis/Phulkas and raita of your choice to make it a complete meal. 
"
4574,Moong Dal Ke Kebab Recipe - Moong Dal Kebab Recipe,"1 कप हरी मूंग दाल - रात भर भिगो ले,2 बड़े चम्मच घी,5 कली लहसुन - पीस ले,1 छोटा चम्मच काली मिर्च पाउडर,1 छोटा चम्मच जीरा,1 छोटा चम्मच लाल मिर्च पाउडर,1/2 छोटा चम्मच गरम मसाला पाउडर,1/2 कप हंग दही,नमक - स्वाद अनुसार",15,15,30,2,Indian,Appetizer,High Protein Vegetarian,"मूंग दाल के कबाब रेसिपी बनाने के लिए सबसे पहले मूंग दाल को रात भर भिगो ले. अब एक सॉसपैन में 1 बड़ा चम्मच घी गरम करें। इसमें जीरा डाले और तड़कने दे. जीरा के तड़कने के बाद इसमें मूंग दाल, नमक डाले और मिला ले. दाल को मध्यम आंच पर 5 मिनट के लिए पका ले. अब इसे एक बाउल में निकाले और ठंडा होने दे. ठंडा होने के बाद एक मिक्सर ग्राइंडर में डाले और अच्छी तरह से पीस ले. इस पाउडर को एक बाउल में निकाल ले.अब इसमें नमक, काली मिर्च पाउडर, लाल मिर्च पाउडर, गरम मसाला पाउडर डाले और मिला ले.मिलाने के बाद इसमें हंग दही डाले और अच्छी तरह से मिला ले. अब इसके 10 हिस्से कर ले और गोल गोल बॉल बना ले. अब अपने हाथो के बिच में दबाकर फ्लैट कर ले. एक तवा पर तेल गरम करें। इसमें कबाब डाले और दोनों तरह से सुनहर भूरा होने तक पका ले. किचन पेपर पर निकाले और परोसे।  मूंग दाल के कबाब रेसिपी को धनिया पुदीना चटनी और मसाला चाय के साथ परोसे. 
"
